,sentimento,txt
10,positivo,"O segundo livro e ainda mais fantástico, tutu e Mariana sofreram e perderam coisas irreparáveis, mas nos mostraram que o amor é o companheirismo de quem realmente nos ama e o que nos impulsiona a seguir em frente e tentar construir novas felicidades e eles conseguiram se reergueram encontram um no outro o amor é tudo que precisavam pra continuar a vida e ser felizes junto com os filhos via e theus ❤❤❤❤❤ se eu continuar vou chorar, ju só tenho que parabenizar você, desejar muito sucesso que cada dia mais você venha crescer na sua vida como escritora, que você continue sendo essa ser humano maravilhoso que você e que continue escrevendo muitas histórias maravilhosas para todas nos! Aqui é #Sadleitora até o fim #TamoJunto ❤❤❤❤❤❤❤❤❤❤❤❤❤ 
"
11,positivo,"Nada pode acabar com o amor que cresce de forma verdadeira. Amei demais , e super apoio a CONTINUAÇÃO da história de todos os personagens! Tudo se torna mais real e essa família nunca cairá por terra. Os Albuquerques sempre estarão em nossos corações ❤ 
"
12,positivo,"Amooooo essa série. Estive acompanhando desde o wattpad e recomendo. Se quer um romance muito louco com garantia de risadas e muito amor, não vai se arrepender!!! 
"
13,positivo,"A continuação da estória de Mari e Arthur nesse livro é maravilhosa! Não tem como não rir, não se emocionar e não amar mais ainda esse casal, que é o início de tudo. 
"
14,positivo,"adorei melhor livro que ja li tem  comédia que ri muito com as safadezas da Mari com Arthur um romance que todas sonham ter. um homem sem igual um príncipe. tem tambem superação  drama. a autora esta de parabéns  adorei os livros dela ela tem o dom na escrita uma mente fértil maravilhosa a Jussara é  criativa dinâmica  com as escritas.
"
15,positivo,"Leitura indispensável pra vida. Mari e Tutu agora juntos e fortalecidos. Superação e Amor definem este livro. ""É muito bom ser vida louca"" Ju, vc é sensacional, obrigada por me encantar com as suas obras. 🧡 Amo 🧡 
"
16,positivo,"Pensa num livro maravilhoso, aí vc multiplica 🥰🥰 Amei cada capítulo, ri muito tb Parabéns Jussara seus livros são perfeitos, um melhor que o outro 🥰🥰🥰🥰 
"
17,positivo,"Uma estória extraordinária,  divertida e quente. Esperando ansiosa pela sequência da série sem limites. Jussara Leal vc tem o dom da escrita e muito obrigada por compartilha-lo  conosco . 
"
18,positivo,"Segundo livro da série  mostra um casal mais fortalecido no amor e como eles superaram todos as barreiras. Amo a família Albuquerque. 
"
19,positivo,"Adoro os livros da Jussara, é muito real oficial, não vejo a hora de ter os mesmo em físico.... amoooooooo 
"
20,positivo,"Simplesmente perfeito! Uma mistura perfeita de loucura e humor! Sou completamente apaixonada nos livros!! 😍😍 
"
21,positivo,"Apaixonada por essa série,obrigada Ju por trazer eles pra gente ❤️❤️❤️❤️ 
"
22,positivo,"Eu amei esse livro romântico sexy e muito envolvente
"
23,positivo,"livro muito bom recomendo 
"
24,positivo,"Sem palavras ! 
"
25,positivo,"Deixei para fazer a avaliação dos dois livros aqui, os livros sao maravilhosos. Me apaixonei pela Mari, pelo Arthur, pela Amélia...a história é super agradável, chorei e sorri, dei gargalhadas...enfim, recomendo. Não tem com não se apaixonar. 
"
26,positivo,"Gostei do livro, só chorei quando ela perdeu a gravidez dos gêmeos. Não queria que acontecesse isso. Que mulher mais intragável, porque quando estava casada com o Arthur não deu valor a ele? Qual era o problema dela? Não consegui entender. Acho que não era dinheiro, amor também não, então o que ela queria? 
"
27,positivo,"1000essa é minha nota para essa estória q aliás não é o fim mais simplismente megashow amei Mari Tutu casal q nos deixa se apaixonar cada vez mais seja nas cenas quentes como nas loucuras . Parabéns Jussara  . Anciosa para conhecer os próximos capítulos . 
"
28,positivo,"Totalmente apaixonante como o primeiro... Aqui vc já tá morrendo de amores por Mari e Tutu, vc vai aprender a superar seus problemas e medos, vc aprende a ser empoderada, aprende como enlouquecer seu marido 😂😂😂 inclusive na cama 😏 vc vai chorar, mas tbm vai dar boas risadas, pq esses dois são incríveis, com todo seu jeito de ser!! Não deixe de ler, vão amar com certeza!! 
"
29,positivo,"Devorei essa estória louca, linda, emocionante, um amor louco e quente...muito quente...já estou com saudades de Mari e Tutu!! Parabéns 
"
30,positivo,"Essa autora é dez...o.livro é muito bom...amei...consegue te prender e louca pra ler o próximo ....parabéns autora.....🤗🤗🤗🤗😍😍😍👏👏👏👏👏👏amo o tutu e a Mari
"
31,positivo,"Segue a saga da Mari e do Tutu. Uma vida amorosa intensa. E agora coroada com os filhos. Parabéns à autora! 
"
32,positivo,"Não tenho outra palavra para descrever essa série que amo de paixão, super recomendo todos os livros dessa autora excepcional. Jussara que você brilhe cada dia mais, tem aqui uma admiradora e sad leitora assumidissima. E viva Mary e Tutu 
"
33,positivo,"Depois que conhecemos seus livros não conseguimos mais ser normais, pq nos tornamos Vida Loka, nos Sadleitoras somos loucas por suas histórias e quanto mais saírem , mais seguiremos com você ! 
"
34,positivo,"Livro maravilhoso, autora escreve de maneira leve, de um talento ímpar, onde a mulher tem papel fundamental, é livre, solta, mas totalmente dedicada a família. Recomendo a leitura. 
"
35,positivo,"Este livro faz vc mergulhar no mundo do Tutu e da Mari e se apaixonar é inevitável, o livro é envolvente e vc se apaixona pelos personagens. Eu agradeço a autora por está obra prima. Quero ver todos os livros da coleção nas livrarias e preciso comprar urgentemente. 
"
36,positivo,"Livro maravilhoso assim como todos os liVros  da JUSSARA LEAL amo a história da Mari e do tutu, é  um livro apaixonante que contém superação romance  erotismo alegria é muito mais. Tenho certeza que vc tbm.vai se apaixonar  por eles. 
"
37,positivo,"Não tem como não se apaixonar por eles meu deus! Ju você é sensacional. Te idolatro mulher Deus. Que Deus continue te abençoando e abençoando esse dom maravilhoso que ele te deu! 
"
38,positivo,"Acompanho desde o Wattpad e me peguei cada vez mais apaixonada!! Acompanho a autora desde então e todos os livros são maravilhosos. Parabéns Ju continue assim nos prendendo aos encantos dos seus livros 😍😍
"
39,positivo,"Sem palavras para descrever esse livro disparado o melhor que eu já li Jussara Leal sua escrita e maravilhosa amo tudo o você escreve que venha os próximos Mary e tutu ficarão no meu coração 
"
40,positivo,"Como não amar esse casal????? Mari e Tutu moram no meu coração.... livro cheio de emoção... amor e risos.... obs: terá um 3 volume e eu queria muito a história de Alice 
"
41,positivo,"Apaixonante!!! Uma narrativa envolvente, além da pitada hot,mas vale a pena ler , se divertir, chorar e torcer pela felicidades dos personagens da história. 
"
42,positivo,"Já li esse livro mais de 1000 vezes.. Oq falar?  N tenho palavras, só Leiam e vcs n vão se arrepender. Um livro q prende a sua atenção do começo ao fim. Super indicado❤❤ 
"
43,positivo,"Leitura viciante do começo ao fim. Escrita fluida e enredo sensacional. Me apaixonei por cada capítulo desse livro. Linguagem hot q faz as bochechas corarem. Maravilhoso 
"
44,positivo,"Simplesmente uma das melhores escritas já vista, é envolvente, instigante, engraçado nos prende de uma forma inexplicável.. muito amor pelos livros da Jussara 
"
45,positivo,"Maravilhoso unico...um livro na medida certa no humor ...no hot...muito vale cada centavo  q eu paguei nele 
"
46,positivo,"Livro maravilhoso, historia envolvente com pitadas hot e de comedia, não da vontade de parar de ler, cada capitulo mas maravilhoso que o outro
"
47,positivo,"Muito bom o livro, nos faz entrarmos na história, nos prende, sempre ansiosa por mais. 
"
48,positivo,"Jussara Leal sempre se supera é um livro melhor que outro, comecei a reler todos e não consigo parar é viciante .... 
"
49,positivo,"Os livros dessa escritora é surreal. Não dá vontade de parar de ler . Eu adquiri os livros físicos pois são maravilhosos. 
"
50,positivo,"Romance a mil nessa segunda fase ,surpe indicado para todos Quem curti um romance rot e fofo ao mesmo tempo 
"
51,positivo,"Está autora é simplismente maravilhosa. Não li um livro dela que não tenha amado. Perfeitos. 
"
52,positivo,"Livro sensacional, escrita envolvente e engraçada. A autora é ótima. Porque é muito bom ser vida louca 
"
53,positivo,"MARAVILHOSO ❤ 
"
54,positivo,"Maravilhoso, sensacional, o livro simplesmente te envolve, Parabéns!!
"
55,positivo,"Se você simpatiza com Michelle, precisa ler esse livro urgentemente! Se quer conhecê-la melhor, ""Minha História"" é o caminho ideal e mais revelador para descobrir como a menina do subúrbio de Chicago cresceu, frequentou uma das universidades mais emblemáticas do mundo e se tornou primeira-dama dos Estados Unidos. Além de envolvente, o relato é inspirador por mostrar não só a ascensão profissional de Michelle Robinson, mas também porque ela compartilha com o leitor detalhes íntimos de sua criação, do seu ambiente familiar quando criança, suas inquietudes em relação à profissão, seu modo de agir em meio à notoriedade do marido, o dia a dia na Casa Branca, seus desafios como mulher e mãe e como ela se tornou protagonista mesmo quando tudo estava desenhado para ela ser mais uma coadjuvante. Prepare-se para uma leitura fácil, daquelas que fazem você se esquecer do tempo. Você vai rir, chorar e admirar ainda mais a 44ª primeira-dama norte-americana. 
"
56,positivo,"Livro maravilhoso, a vida de uma mulher guerreira e ao mesmo tempo doce. Michelle vai contar aqui sobre sua vida em Chicago, como conheceu e teve que aprender a conviver com o Barack Obama, os conflitos da maternidade e vida profissional, como foi viver na Casa Branca. Importante demais conhecer sua história de vida, em nem estava procurando por isso, mas encontrei muita esperança ao ler esse livro, principalmente para ter forças para o próximo ano (em relação à vida política brasileira). Me encantei com ela, me emocionei durante toda a leitura. Recomendo demais. 
"
57,positivo,"Durante a leitura desse livro lembrei de diversas mulheres que impactaram a minha vida, de diferentes formas e em diferentes épocas. Lembrei da minha mãe, que abdicou de voos maiores para focar na educação dos filhos. Lembrei da minha esposa, que me ensina, todos os dias, a ter mais empatia, especialmente com o universo feminino. Lembrei da minha sogra, uma otimista irrefreável que usa a fé como antídoto ao medo. Lembrei da minha irmã que, com coragem e independência, atravessou o Pacífico em busca de felicidade. Trata-se de um livro de lembranças. E de muitas realidades. Uma obra que nos faz refletir. Em “Minha História”, Michelle Obama não produz apenas um registro histórico da sua vida. Ela vai além, principalmente ao revelar a importância da educação na vida das pessoas, ao expor as origens e consequências do grave quadro de segregação racial nos EUA, ao registrar a grandiosidade do governo de Barack Obama e ao ensinar como criar nossas filhas em um mundo que, infelizmente, ainda é permeado de preconceito e injustiças. Uma leitura agradável, leve e extremamente esperançosa. Michelle é uma referência. 
"
58,positivo,"Sempre achei interessante o poder e a presença que Michelle durante a Era Obama. Aqui, como antes, ele prova ser mais do que uma primeira-dama e desperta o leitor para uma trajetória interessante persistente de uma mulher que foi muito além das fronteiras impostas pela realidade. Um suco de motivação para todos nós que estamos fixados nesse século de tanta incerteza e fraqueza. É sempre bom ser inspirado por pessoas que fizeram e fazem história. 
"
59,positivo,"Durante a leitura deste livro percebi a resiliência e a transformação que a força de vontade nos permite vivenciar quando buscamos equilibrar as diferentes áreas de nossa vida. Abrir mão de algumas coisas para lutar pelas nossas prioridades é uma habilidade que todos devemos desenvolver. Michelle mostra que buscando ser um ser humano melhor conseguimos atrair melhores resultados no longo prazo. E a perseverança na busca de um mundo melhor é sempre recompensada com novas amizades ao longo da vida. 
"
60,positivo,"Eu não conhecia quase nada além do óbvio sobre a vida de Michelle Obama, e através desse livro pude enxergar a grande mulher que ela sempre foi. Seu relato é muito honesto, me senti realmente acompanhando sua trajetória, seus medos, suas inseguranças, tudo através das palavras dela. Recomendo muito! 
"
61,positivo,"O livro é inspirador, Michele conta de forma muito íntima sobre sua infância e família, como conheceu seu marido e futuro presidente dos EUA, sobre humanidade e esperança e finaliza com a saída da Casa Branca depois de 2 mandatos, fala sobre preconceitos e como venceu com muita determinação todos os obstáculos que enfrentou, fala sobre o poder feminino e como ela usou sua influência para defender seus ideais. O livro é excelente. 
"
62,positivo,"Um livro inspirador e de leitura fácil! Uma história de autoconfiança, sem fugir da realidade. Sou fã de biografias, sobretudo de pessoas incríveis como essa mulher. Indico a leitura aos que querem conhecer mais sobre Michelle e a família Obama.
"
63,positivo,"Ainda que o conteúdo esteja embalado com belo papel porque são ainda figuras públicas importantíssimas, dá para ver que a meritocracia, a família matriarcal e a união por um propósito mais humano são valores dos Obama. 
"
64,positivo,"Espetacular! Quem me dera ter a oportunidade de ler mais livros como este. 
"
65,positivo,"A história da Michelle Obama é muito bonita. Muito bem escrito. Vale a pena conhecer mais o que ela tem a dizer. 
"
66,positivo,"Livro muito bom, em linguagem fácil de ler e prende bastante a atenção. Além de contar sua vida e um pouco de Barack, a autora discorre sobre a realidade das mulheres negras nos Estados Unidos, bem como dos negros em geral. Recomendo a leitura ;) 
"
67,positivo,"Amei o livro! A narrativa lembra uma conversa com uma amiga que por acaso é Michelle Obama! Excelente história! Mostra de forma real os bastidores da vida de quem trabalha para deixar um legado relevante para a humanidade. Super recomendado. 
"
68,positivo,"O livro é muito bem escrito, a leitura é fluida e instigante. Ele não decepciona ao expor alguns detalhes da vida privada da família. Michelle Obama é uma mulher forte e inspiradora. Recomendo muito! 
"
69,positivo,"Como sempre, entrega rápida. Excelente livro. Uma história fascinante, cheia de batalhas pelas quais  muitos de nós também passamos. Uma escrita sincera.  Leitura fluida e rápida também. 
"
70,positivo,"Ótima narrativa. Ela não deixa passar nenhum detalhe e você fica muito envolvido durante todo o livro. Sou uma admiradora da Família Obama, por isso não poderia perder esse livro.
"
71,positivo,"Michelle Robinson compartilha com o leitor detalhes íntimos de sua vida. Exemplo de postura como primeira Dama. Digna de aplausos. 
"
72,positivo,"Simplesmente Sensacional! Mais que um livro de história de vida e sim um estimulador para nossas vidas. 
"
73,positivo,"Livro perfeito com acabamento impecável e excelente gramatura do papel. :) 
"
74,positivo,"#MichelleObamaForPresident 
"
75,positivo,"Eu li em formato de ebook. Boa versão. 
"
76,positivo,"Livro leve gostoso de ler. Super indico!!! 
"
77,positivo,"Indico para todas as mulheres, livro inspirador! 
"
78,positivo,"Amei o livro! Super gostoso de ler!
"
79,positivo,"Muito bom. Uma ótima biografia. 
"
80,positivo,"Leitura gostosa e simples. 
"
81,positivo,"Leitura interessantíssima !!! 
"
82,positivo,"Vale muito! 
"
83,positivo,"Maravilhoso! 
"
84,positivo,"Esse não é um livro sobre a presidência do Obama do ponto de vista da esposa, muito menos um livro fazendo a propaganda do ex-presidente; é a história de Michelle Robinson e depois Michelle Obama, uma mulher negra que valoriza educação e família acima de tudo, que cresceu com o pai, mãe e irmão na zona sul de Chicago, que sempre pensou em como atingir seus objetivos e ser a melhor versão de si que podia ser. Quando a gente vê alguém na posição da Michelle que, passou 8 anos sendo observada e julgada a cada segundo (principalmente pela mídia e pela oposição, mas também por nós) só porque o amor da sua vida calhou de se tornar o presidente dos EUA, existem infinitas ideias: ela odiou tudo, ela adoro o luxo e a atenção; será se eles brigavam? será se era de verdade? será se ela se importava mesmo? Tudo é respondido em Minha História. Não é um livro de fofocas sobre a presidência dos EUA, é a vida dela inteira. Desde a infância dividindo quarto com o irmão até o momento infeliz em que viu Trump ser eleito presidente. Ela não tem vergonha nenhuma em falar sobre a história da colega de quarto racista na faculdade que pediu pra trocar de quarto; a dificuldade e desespero em falar ou fazer qualquer coisa durante a época de eleição porque sabia que qualquer coisa poderia ser distorcida e usada contra o marido; a frustração de que Barack é daqueles que fala ""tô chegando"" e chega 2h depois. Eu já admirava a Michelle desde o começo do primeiro mandato do Barack, mas mesmo vendo entrevistas, notícias e transmissões, ver os valores, opiniões e vivências contadas por ela mesma em seus próprios termos me vez entender muita coisa o que tinha por trás de muita coisa que eu vi ao longo dos anos. Não tem que diga que ela não é um ser humano admirável, uma mulher que vai ser um role model para milhões de crianças por aí. Amei a leitura e vou recomendar pra todo mundo, então amigos preparem-se. :) 
"
85,positivo,"Um relato encantador e carismático, cheio de sentimentos reais e humanidade. Michelle parece perceber tudo e todos ao redor com olhar empático, de acolher e disciplinar na medida da necessidade. Uma mulher que poderia e deveria ser presidente do mundo! Apaixonada por sua inteligência e força. Recomendado a todos. 
"
86,positivo,"Incrível! Leitura indispensável para todas as mulheres!;Encantada com a linda Michelle e sua fantástica atuação na Casa Branca!
"
87,positivo,"Quem vê acha ser um livro sobre guerra ou como vencer uma batalha. Pode ser mas também é sobre como vencer na vida cotidiana dos dias de hoje principalmente se você sofre alguma rivalidade no trabalho, no dia a dia e precisa vencer esta guerra. 
"
88,positivo,"Leitura simples, em contextos claros e objetivos. Nos remete a conceitos básicos de estratégia, mas podem ser utilizados em nosso cotidiano nas mais diversas situações. 
"
89,positivo,"Muito, claro e objetivo bem atual nos dias de hoje, uma ótima leitura. Recomendo a todos a sua leitura, com certeza o ajudará em algumas situações da vida. 
"
90,positivo,"Dei de presente para um amigo e ele disse, logo após ler, que era uma ótima obra. 
"
91,positivo,"Obra clássica com lições que valem até hoje. A cultura chinesa sempre tem muito a nos ensinar. Sun Tzu é genial. 
"
92,positivo,"Leitura leve, permite refletir sobre problemas do cotidiano. Um bom livro para quem não pode dedicar muito tempo para leitura. 
"
93,positivo,"Vale apena comprar. É um excelente ebook. Fácil de ler, didático, explicativo, com conteúdo muito bom. Eu fiquei feliz de poder lê-lo. Clássico. 
"
94,positivo,"Leitura fácil e bem explicativo. As ilustrações são lindas, seriam ainda mais se fosse coloridas. É um bom livro de se ter na coleção.
"
95,positivo,"Depois de ver várias pessoas comentando muito bem sobre o livro O Milagre da Manhã resolvi inclui-lo na minha lista de leituras para 2018 e realmente valeu a pena. Apesar de eu já praticar muitas das técnicas apresentadas pelo autor algumas eu não conhecia ou não estava praticando. O livro basicamente relata a superação de Hal Elrod, depois que ele sofreu um acidente de carro que praticamente levou ele ao óbito. Neste livro ele compila as técnicas que utilizou para superar tanto a parte física quanto a psicológica que o afetou. Em vários momentos ele cita várias técnicas e ferramentas que você poderá utilizar no seu dia a dia para melhorar a sua vida com um todo e também os nomes de Tim Ferriss e Tony Robins  são mencionados várias vezes, então se você não conhece ou nunca ouviu falar nesses dois nomes recomendo fortemente que você faça uma pesquisa e veja os trabalhos de ambos. Ele conseguia simplificar muito o processo como um todo, de tal forma que hoje tem uma comunidade global que o segue no Facebook e no livro ele lança o desafio do Milagre da Manhã durante 30 dias. O mais interessante é que muitas pessoas que começaram o desafio de 30 dias estão praticando por anos, porque tiveram transformações e resultados fantásticos em suas vidas. Não vou fazer aqui um spoiler completo do livro, mas basicamente o desafio é baseado em acordar todos os dias as 05:00 AM e praticar uma série de técnicas para começar o seu dia de forma diferente e torna-lo mais produtivo. Acordar as 05:00 AM eu já faço isso já fazem vários anos, mas o desafio não é só acordar cedo, mas sim inclui várias técnicas que envolve desde a meditação, afirmação, visualização entre outras. Se você gosta de desafios e quer ter resultados diferentes, então este livro é para você. 
"
96,positivo,"O livro cumpre exatamente o que propõe: mudar sua vida da água pro vinho. A leitura é dinâmica, divertida e super motivadora. Ao final do livro o autor disponibiliza diversos recursos para te ajudar a colocar todas as ideias do livro em prática e te dá a impressão de estar tendo uma conversa com um coach pessoalmente. É um daqueles livros para você ler e daqui a 5 anos dizer: ""Esse livro mudou minha vida."" 
"
97,positivo,"Há 21 dias comecei a ler a versão em inglês desse livro (finalizei a leitura em 4 dias). Confesso que iniciei a leitura um tanto cético, pois sempre acreditei que precisava de 8 horas de sono para ter um dia produtivo. O que posso afirmar é que, exceto o primeiro (que acordei as 06:00) e hoje (que acordei as 05:44) todos os outros dias acordei as 05:00, pratiquei exercícios, li livros e fiz várias outras coisas para o meu crescimento profissional e pessoal. O livro é transformador, se você realmente quer uma mudança drástica na sua vida leia esse livro. Na minha opinião, a pergunta mais importante desse livro é ""Quantas horas você precisa dormir por noite?"", o autor cita pesquisas que mostram a quantidade de horas de sono por faixa etária. Todavia, a ideia do autor é ""Você precisa da quantidade de horas que acha que precisa"". Para provar a sua teoria ele diz que ""O último pensamento que você teve antes de dormir, será o seu primeiro pensamento ao acordar"" e que se você definir a quantidade de horas que precisa, o seu cérebro ""automaticamente"". Pessoalmente, eu costumava dormi 8 horas por noite e acordava com muito sono, mas após seguir as instruções desse livro criei um ""PENSAMENTO DOMINANTE"" que mantenho na mente antes de dormir, algo como ""5 horas de sono é exatamente o que eu preciso para descansar toda a minha mente e todo o meu corpo. Amanhã acordarei as 05:00 da manhã totalmente energizado e motivado...."" Repito isso mentalmente por umas 5 vezes antes de dormir. O que posso dizer é que após isso durmo 5 horas por noite e estou muito mais pré-disposto do que quando dormia 8. O livro é simplesmente fantástico!!!!! ATUALIZANDO..... Miracle Morning #109 
"
98,positivo,"Já comecei a ler e as ideias propostas são bem simples e interessantes. Até onde eu li, posso dizer que é um bom livro! 
"
99,positivo,"O Milagre da Manhã é realmente transformador! Antes mesmo de acabar o livro eu já estava colocando em pratica meu ""ritual matutino"". No início achei repetitivo, mas como levei alguns dias para terminar a leitura, reler alguns ensinamentos dos capítulos anteriores acabou sendo positivo. Em uma semana eu já nem precisei de despertador. 
"
100,positivo,"O livro te inspira a transformar-se. Ele te dá razões e caminhos para que você busque seu aperfeiçoamento pessoal e possa realizar seu(s) sonho(s). Realmente o que é dito é funcional. Ele não fica enrolando para dar volume ao livro, ele só fala da própria vida para ilustrar e motivar-nos. Recomendo bastante a leitura a todos que estiverem em dúvida, sua vida vai realmente ser outra após o livro. 
"
101,positivo,"O livro é ótimo e tem excelentes dicas para melhorar sua manhã e consequentemente seu dia. Passei a acordar mais cedo desde que li o livro e isso tem me ajudado bastante. Ganhei mais tempo de qualidade e posso produzir mais. Eu recomendo... 
"
102,positivo,"Livro muito bom, que faz vc repensar a distribuição  do seu tempo. Será que eu preciso dormir 8 hrs por dia? Como devo começar  meu dia? Depois dessa leitura comecei a meditar todas as manhãs  e meu desempenho melhorou de forma significativa. Se foi um milagre, eu não sei, mas de forma geral me sinto mais produtiva e motivada. Ponto pro autor.
"
103,positivo,"Li este livro quando tinha 18 anos e ele influenciou muito positivamente minha vida pessoal e profissional. Agora, com 83 anos, voltei a encontrá-lo no formato e-book e  o li, novamente, com o mesmo entusiasmo. Aos que não conhecem o autor, já falecido, recomento e especialmente aos jovens. Dagoberto Aranha Pacheco, autor de PÍLULAS PARA CRESCER, O DESENVOLVIMENTO GRADATIVO DO SER HUMANO, LABIRINTO, ANTOLOGIA PESSOAL e NEW LESSONS OF ABYSS. 
"
104,positivo,"Leitura obrigatória para qualquer profissional que deseja desenvolver o poder de comunicação. Rico em ideias e exemplos. Entendo que possam ser questionados os aspectos morais de influenciar as pessoas no estilo Carnegie, inclusive com uma certa falsidade... Então vale realizar uma avaliação crítica do conteúdo como em qualquer outra leitura. 
"
105,positivo,"Sou uma pessoa que argumentava bem, porém feria o orgulho das pessoas. Com esse livro estou treinando para convencer mais facilmente, amigos e clientes. 
"
106,positivo,"Dale Carnegie nos mostra uma nova perspectiva de vida, através de hábitos conscientes que nos levam a procurar entender o ponto de vista do nosso semelhante. Este livro nos conduz a uma nova filosofia de vida, denota o valor de um ""bom dia"" e o poder que um elogio sincero tem perante quem o recebe. Avalio este livro como um ativo intangível que apresenta experiências e reflexões que colocam o leitor no caminho para se tornar uma pessoa melhor do que ela foi ontem. ""Creio que o principal agente de mudança está dentro de nos mesmos."" 
"
107,positivo,"A vida é feita de relacionamentos e mais do que ter sucesso financeiro, acredito que o mais importante é ter sucesso na vida. Nesse livro clássico Dale Carnegiu expõe com maestria todos os ensinamentos que conseguiu passar em seus treinamentos, após profunda observação e análise de poderosos e relevantes executivos do final do século XIX e início do século XX. Um must read para quem quer melhorar suas qualidades comportamentais e emocionais. 
"
108,positivo,"Excelente livro!! Realmente vale a pena sua leitura. O que mais gostei: ele relata os fatos com exemplos reais de histórias vivenciadas por pessoas em diversas situações. Recomendo esse livro a todos aqueles a que almejam progresso em relacionamentos com pessoas, sejam eles profissionais ou pessoais. 
"
109,positivo,"Sempre gostei de ler livros de crescimento pessoal porém imaginava que um livro que é tão antigo estaria desatualizado... Grande engano meu, como Dale toca na cerne do ser humano, das suas necessidades e desejos, podem se passar mais mil anos e ele ainda será atual, recomendo a todos sem excessão, a não ser que seja um eremita que vive em uma caverna este livro com certeza vai mudar sua ótica sobre o relacionamento humano. 
"
